singers,genres,total_play,title
Hồ Quang Hiếu,Nhạc Trẻ,2538160,Hết Rồi
Trung Quân Idol,Nhạc Trẻ,1326520,Mưa Trên Biển Vắng
Vương Anh Tú,Nhạc Trẻ,378374,Trả Lại Những Gì Thuộc Về Em
"Mỹ Linh,Cẩm Ly,Isaac (365),Hoàng Bách",Thiếu Nhi,255318,Nhà Là Nơi
"Isaac (365),OnlyC,DJ Gin",Nhạc Trẻ,151494,Xin Hãy Thứ Tha (The Remix - Hòa Âm Ánh Sáng)
Vũ Thảo My,Âu Mỹ khác,770,Break Free Cover 
Vũ Thảo My,Nhạc Trẻ,3259,Say (Phúc Bồ Remix)
Đông Nhi,Nhạc Trẻ,3857463,Giận Lòng
Vũ Thảo My,Không Lời,1636,Say Beat
Vương Anh Tú,Nhạc Trẻ,57507,Tan Biến
Vương Anh Tú,Nhạc Trẻ,381163,Một Lần Bất Tín Vạn Lần Bất Tin
Trương Thế Vinh,Nhạc Trẻ,976192,Phải Buông Tay
LiL Knight,Rap Việt,280586,Muộn
Vũ Thảo My,Nhạc Trẻ,2658,Say (Addy Trần Remix)
"Trần Hà My (Mờ Naive),Vương Anh Tú",Thể Loại Khác,15545,Ngày Hôm Qua Trả Lời Những Câu Hỏi
Hoàng Anh Tùng,Nhạc Trẻ,672246,Trả Lại Những Gì Thuộc Về Em
"Asa,Nyny Mama,LDT,Lil Name",Rap Việt,149642,Hết Rồi
Vương Anh Tú,Nhạc Trẻ,26512,Xin Người Nhớ Tên (Live)
"Ngọc Lan,Lâm Thúy Vân",Trữ Tình,69468,Mưa Trên Biển Vắng
"Kaisoul,Mr. Đùm",Rap Việt,358477,Hết Rồi
Như Ý,Trữ Tình,9532,Mưa Trên Biển Vắng
"Asa,Nyny Mama",Rap Việt,13532,Hết Rồi
Ngọc Lan,Trữ Tình,522660,Mưa Trên Biển Vắng
Vương Anh Tú,Nhạc Trẻ,24352,Giúp Em Trả Lời Những Câu Hỏi
Trung Quân Idol,Nhạc Trẻ,57492,Tháng Tư
Ưng Đại Vệ,Nhạc Trẻ,160259,Memories
"Ưng Đại Vệ,LiL Knight",Nhạc Trẻ,91907,Vẫn Mãi Trong Tim
Vũ Cát Tường,Nhạc Trẻ,248711,Góc Đa Hình
"Trung Quân Idol,BigDaddy",Nhạc Trẻ,302878,Dấu Mưa (Remix)
"Bằng Cường,Thái Lan Viên",Nhạc Trẻ,344036,Đợi Em Về
Châu Khải Phong,Nhạc Trẻ,1335105,Chuỗi Ngày Vắng Em (Remix New Version)
Hoài Lâm,Trữ Tình,1464766,Về Đâu Mái Tóc Người Thương
Lệ Quyên,Trữ Tình,2129569,Hoa Nở Về Đêm
Trung Quân Idol,Nhạc Trẻ,55390,Mưa Nhớ (Acoustic Version)
Lệ Quyên,Trữ Tình,364337,Bài Không Tên Số 6
Hoài Lâm,Trữ Tình,497396,Xót Xa
Hoài Lâm,Nhạc Trẻ,339716,Xuân Đẹp Làm Sao
Lynk Lee,Thể Loại Khác,156740,Nắm Chặt Tay Anh Nhé (Remix 2013)
Hoài Lâm,Trữ Tình,211379,Ngại Ngùng
"Dương Hồng Loan,Lâm Bảo Phi",Trữ Tình,978164,Nối Lại Tình Xưa
"Đàm Vĩnh Hưng,Hoài Lâm",Trữ Tình,89292,Giọt Lệ Đài Trang 
Lynk Lee,Nhạc Trẻ,32745,Con Nít (Acoustic Version)
Lynk Lee,Nhạc Trẻ,65279,Mưa Ngọt Ngào
Lynk Lee,Nhạc Trẻ,83547,Đâu Phải Chỉ Vì Nhớ
"V-Ray,Vũ Cát Tường",Rap Việt,71539,Như Chưa Bắt Đầu
Vũ Cát Tường,Nhạc Trẻ,467172,Vết Mưa
"Duy Mạnh,Bích Phương",Trữ Tình,121058,Dù Chỉ Là Người Tình
